box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time
1,118.0,,,,92.09%,82.17%,1,Obtuse,19:03:02.564396
1,118.0,,,,92.84%,83.68%,1,Obtuse,19:03:01.535406
1,116.0,,,,93.27%,85.34%,1,Obtuse,19:03:00.511654
1,115.0,,,,92.00%,84.10%,1,Obtuse,19:02:59.487726
1,116.0,,,,91.46%,83.17%,1,Obtuse,19:02:58.459983
1,116.0,Side,Left,Horizontal-Left,92.27%,84.73%,1,Obtuse,19:02:57.432023
1,116.0,,,,93.30%,82.43%,1,Obtuse,19:02:56.411630
1,116.0,,,,91.49%,82.97%,1,Obtuse,19:02:55.371364
1,116.0,,,,92.34%,81.56%,1,Obtuse,19:02:54.340418
1,117.0,,,,92.20%,83.87%,1,Obtuse,19:02:53.307948
1,116.0,,,,91.36%,83.79%,1,Obtuse,19:02:52.287402
1,117.0,,,,92.53%,81.17%,1,Obtuse,19:02:51.252412
1,118.0,Top,left,Vertical-left,90.93%,81.01%,1,Obtuse,19:02:50.203439
1,118.0,,,,92.26%,83.26%,1,Obtuse,19:02:49.179220
1,116.0,,,,92.52%,82.70%,1,Obtuse,19:02:48.147868
1,116.0,,,,92.39%,86.49%,1,Obtuse,19:02:47.108456
1,116.0,Side,Left,Horizontal-Left,92.43%,83.09%,1,Obtuse,19:02:46.071739
1,115.0,,,,91.83%,81.44%,1,Obtuse,19:02:45.037624
1,116.0,Side,Left,Horizontal-Left,92.22%,79.49%,1,Obtuse,19:02:44.004436
1,116.0,,,,91.57%,82.10%,1,Obtuse,19:02:42.963854
1,116.0,,,,92.50%,80.93%,1,Obtuse,19:02:41.926970
1,116.0,,,,92.14%,81.23%,1,Obtuse,19:02:40.912342
1,116.0,,,,91.24%,83.45%,1,Obtuse,19:02:39.880323
1,116.0,,,,91.03%,84.59%,1,Obtuse,19:02:38.843847
1,116.0,,,,92.69%,83.33%,1,Obtuse,19:02:37.818041
1,116.0,,,,93.32%,84.60%,1,Obtuse,19:02:36.792457
1,116.0,,,,91.81%,84.65%,1,Obtuse,19:02:35.767077
1,116.0,Side,Left,Horizontal-Left,93.81%,80.76%,1,Obtuse,19:02:34.747842
1,118.0,,,,91.81%,84.65%,1,Obtuse,19:02:33.715403
1,116.0,Top,left,Vertical-left,91.32%,81.54%,1,Obtuse,19:02:32.687404
1,116.0,,,,92.38%,81.86%,1,Obtuse,19:02:31.657406
1,116.0,,,,92.41%,81.75%,1,Obtuse,19:02:30.634956
1,117.0,,,,91.50%,82.68%,1,Obtuse,19:02:29.603895
1,116.0,,,,92.58%,85.14%,1,Obtuse,19:02:28.567256
1,117.0,,,,92.86%,81.09%,1,Obtuse,19:02:27.523464
1,116.0,,,,92.41%,85.18%,1,Obtuse,19:02:26.507391
1,116.0,,,,91.51%,82.91%,1,Obtuse,19:02:25.474791
1,118.0,,,,92.29%,85.08%,1,Obtuse,19:02:24.444295
1,117.0,,,,92.56%,81.51%,1,Obtuse,19:02:23.412402
1,116.0,,,,93.11%,83.35%,1,Obtuse,19:02:22.384459
1,118.0,,,,92.79%,81.30%,1,Obtuse,19:02:21.352383
1,116.0,,,,92.21%,80.22%,1,Obtuse,19:02:20.311784
1,118.0,,,,93.18%,84.25%,1,Obtuse,19:02:19.278619
1,116.0,,,,92.38%,80.89%,1,Obtuse,19:02:18.248398
1,116.0,,,,90.96%,81.90%,1,Obtuse,19:02:17.220051
1,116.0,,,,92.27%,82.19%,1,Obtuse,19:02:16.194859
1,116.0,,,,92.55%,82.26%,1,Obtuse,19:02:15.160388
1,116.0,,,,92.94%,80.74%,1,Obtuse,19:02:14.126555
