box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time
1,,,,,,62.88%,1,,12:17:04.962953
1,,,,,,65.62%,1,,12:17:04.381033
1,,,,,,64.69%,1,,12:17:03.710803
1,,,,,,69.70%,1,,12:17:03.051008
1,,,,,,68.58%,1,,12:17:02.405886
1,,,,,,64.91%,1,,12:17:01.784286
1,,Side,Left,Horizontal-Left,,63.68%,1,,12:17:01.161751
1,,Side,Right,Horizontal-Right,,60.36%,1,,12:17:00.546696
1,,,,,,62.56%,1,,12:16:59.938348
1,,Side,Right,Horizontal-Right,,73.79%,1,,12:16:59.352757
1,,,,,,70.99%,1,,12:16:58.756355
1,,Side,Left,Horizontal-Left,,69.40%,1,,12:16:58.173733
1,,,,,,72.36%,1,,12:16:57.599094
1,,,,,,65.79%,1,,12:16:57.006600
1,,,,,,67.66%,1,,12:16:56.405540
1,,,,,,69.90%,1,,12:16:55.826175
1,,,,,,66.26%,1,,12:16:55.227397
1,,,,,,74.26%,1,,12:16:54.626667
1,,,,,,71.05%,1,,12:16:54.036990
1,,,,,,72.09%,1,,12:16:53.465686
1,,,,,,63.91%,1,,12:16:52.892668
1,,,,,,72.11%,1,,12:16:52.312765
1,,,,,,72.73%,1,,12:16:51.739568
1,,Side,Right,Horizontal-Right,,70.25%,1,,12:16:51.158700
1,,,,,,67.85%,1,,12:16:50.559041
1,,,,,,67.60%,1,,12:16:49.977548
1,,,,,,71.00%,1,,12:16:49.403313
1,,,,,,69.75%,1,,12:16:48.804263
1,,Side,Right,Horizontal-Right,,67.19%,1,,12:16:48.212322
1,,,,,,72.42%,1,,12:16:47.635870
1,,,,,,71.01%,1,,12:16:47.035608
1,,,,,,72.10%,1,,12:16:46.421286
1,,,,,,74.56%,1,,12:16:45.778690
1,,,,,,78.86%,1,,12:16:45.138046
1,,Side,Right,Horizontal-Right,,64.82%,1,,12:16:44.507319
1,,Side,Right,Horizontal-Right,,77.58%,1,,12:16:43.926823
1,,,,,,67.33%,1,,12:16:43.346348
1,,,,,,75.78%,1,,12:16:42.717665
1,,,,,,74.23%,1,,12:16:42.073103
1,,,,,,68.99%,1,,12:16:41.371792
1,,,,,,69.53%,1,,12:16:40.679986
0,,,,,,,0,,12:16:39.988798
1,,,,,,58.97%,1,,12:16:39.374272
1,,,,,,99.65%,1,,12:16:38.746212
1,,,,,,88.96%,1,,12:16:38.117819
1,,,,,,83.90%,1,,12:16:37.503723
0,,,,,,,0,,12:16:36.884202
1,64.0,,,,96.09%,,1,Acute,12:16:36.252973
0,,,,,,,0,,12:16:35.604852
1,28.0,,,,56.07%,,1,,12:16:34.975753
0,,,,,,,0,,12:16:34.360222
0,,,,,,,0,,12:16:33.729971
1,51.0,,,,91.08%,,1,Acute,12:16:33.107459
1,102.0,,,,94.89%,,1,Obtuse,12:16:32.490383
0,,,,,,,0,,12:16:31.843397
0,,,,,,,0,,12:16:31.197184
0,,,,,,,0,,12:16:30.518618
0,,,,,,,0,,12:16:29.861965
0,,,,,,,0,,12:16:29.252868
0,,,,,,,0,,12:16:28.599222
0,,,,,,,0,,12:16:27.950947
1,,,,,,95.46%,1,,12:16:27.299733
1,,,,,,98.06%,1,,12:16:26.665338
0,,,,,,,0,,12:16:26.023910
1,19.0,,,,80.00%,86.71%,1,,12:16:25.363632
1,21.0,,,,87.94%,,1,,12:16:24.737701
1,6.0,,,,99.67%,,1,,12:16:24.057309
1,105.0,,,,99.21%,,1,Obtuse,12:16:23.411653
1,124.0,,,,99.37%,,1,Obtuse,12:16:22.771180
1,131.0,,,,98.99%,,1,Straight,12:16:22.146781
0,,,,,,,0,,12:16:21.498838
1,35.0,,,,94.89%,,1,,12:16:20.885684
0,,,,,,,0,,12:16:20.251704
0,,,,,,,0,,12:16:19.610930
0,,,,,,,0,,12:16:18.991315
0,,,,,,,0,,12:16:18.387364
0,,,,,,,0,,12:16:17.759029
0,,,,,,,0,,12:16:17.143837
0,,,,,,,0,,12:16:16.537715
0,,,,,,,0,,12:16:15.908153
0,,,,,,,0,,12:16:15.272843
0,,,,,,,0,,12:16:14.660969
0,,,,,,,0,,12:16:14.048021
0,,,,,,,0,,12:16:13.440299
0,,,,,,,0,,12:16:12.828425
0,,,,,,,0,,12:16:12.216128
0,,,,,,,0,,12:16:11.582246
0,,,,,,,0,,12:16:10.967554
0,,,,,,,0,,12:16:10.351669
0,,,,,,,0,,12:16:09.727846
0,,,,,,,0,,12:16:09.087318
0,,,,,,,0,,12:16:08.468103
0,,,,,,,0,,12:16:07.820810
1,,,,,,64.87%,1,,12:16:07.204394
0,,,,,,,0,,12:16:06.582651
0,,,,,,,0,,12:16:05.963715
1,,,,,,84.99%,1,,12:16:05.346331
1,,,,,,97.25%,1,,12:16:04.699770
1,141.0,,,,53.99%,,1,Straight,12:16:04.077269
1,138.0,,,,62.30%,,1,Straight,12:16:03.456933
1,27.0,,,,97.85%,,1,,12:16:02.822804
1,29.0,,,,73.76%,,1,,12:16:02.055252
0,,,,,,,0,,12:16:01.403502
1,80.0,,,,60.98%,,1,Acute,12:16:00.768395
0,,,,,,,0,,12:16:00.106410
0,,,,,,,0,,12:15:59.463413
0,,,,,,,0,,12:15:58.811740
0,,,,,,,0,,12:15:58.191827
0,,,,,,,0,,12:15:57.592183
0,,,,,,,0,,12:15:56.947951
0,,,,,,,0,,12:15:56.333969
0,,,,,,,0,,12:15:55.710211
0,,,,,,,0,,12:15:55.077346
0,,,,,,,0,,12:15:54.471088
0,,,,,,,0,,12:15:53.833490
0,,,,,,,0,,12:15:53.207605
0,,,,,,,0,,12:15:52.606262
0,,,,,,,0,,12:15:51.995248
0,,,,,,,0,,12:15:51.397496
0,,,,,,,0,,12:15:50.768944
0,,,,,,,0,,12:15:50.129030
0,,,,,,,0,,12:15:49.517523
0,,,,,,,0,,12:15:48.905504
0,,,,,,,0,,12:15:48.289934
0,,,,,,,0,,12:15:47.680968
0,,,,,,,0,,12:15:47.066155
0,,,,,,,0,,12:15:46.459567
0,,,,,,,0,,12:15:45.845234
0,,,,,,,0,,12:15:45.220750
0,,,,,,,0,,12:15:44.627030
0,,,,,,,0,,12:15:44.025113
0,,,,,,,0,,12:15:43.417601
0,,,,,,,0,,12:15:42.785730
0,,,,,,,0,,12:15:42.160392
0,,,,,,,0,,12:15:41.554284
0,,,,,,,0,,12:15:40.933509
0,,,,,,,0,,12:15:40.329471
0,,,,,,,0,,12:15:39.687400
0,,,,,,,0,,12:15:39.036030
0,,,,,,,0,,12:15:38.423161
0,,,,,,,0,,12:15:37.811286
0,,,,,,,0,,12:15:37.176606
0,,,,,,,0,,12:15:36.565341
0,,,,,,,0,,12:15:35.951477
0,,,,,,,0,,12:15:35.341032
0,,,,,,,0,,12:15:34.715339
0,,,,,,,0,,12:15:34.086669
0,,,,,,,0,,12:15:33.487123
0,,,,,,,0,,12:15:32.869525
0,,,,,,,0,,12:15:32.253053
0,,,,,,,0,,12:15:31.612960
0,,,,,,,0,,12:15:30.998996
0,,,,,,,0,,12:15:30.389657
0,,,,,,,0,,12:15:29.756569
0,,,,,,,0,,12:15:29.112011
0,,,,,,,0,,12:15:28.495495
1,,Side,Left,Horizontal-Left,,64.25%,1,,12:15:27.889396
1,,,,,,76.66%,1,,12:15:27.259740
1,,,,,,68.47%,1,,12:15:26.628778
1,,,,,,64.85%,1,,12:15:25.991938
1,,,,,,73.87%,1,,12:15:25.369550
1,,,,,,75.24%,1,,12:15:24.742223
1,,,,,,57.13%,1,,12:15:24.104494
1,,,,,,76.85%,1,,12:15:23.489205
1,,,,,,71.88%,1,,12:15:22.820567
1,,,,,,73.38%,1,,12:15:22.148303
1,,,,,,75.88%,1,,12:15:21.535902
1,,,,,,77.88%,1,,12:15:20.897308
1,,,,,,68.81%,1,,12:15:20.256370
1,,,,,,74.57%,1,,12:15:19.645812
1,,,,,,76.58%,1,,12:15:19.016601
1,,,,,,62.39%,1,,12:15:18.404093
1,,,,,,76.64%,1,,12:15:17.764946
1,,,,,,79.77%,1,,12:15:17.120759
1,,,,,,74.95%,1,,12:15:16.486847
1,,,,,,72.25%,1,,12:15:15.849488
1,,,,,,73.92%,1,,12:15:15.215006
1,,,,,,79.48%,1,,12:15:14.611372
1,,,,,,68.72%,1,,12:15:13.966967
0,,,,,,,0,,12:15:13.354207
1,,,,,,81.61%,1,,12:15:12.748105
2,,Side,Left,Horizontal-Left,,80.02%,2,,12:15:12.118851
1,,Side,Right,Horizontal-Right,,95.86%,2,,12:15:12.118851
