box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time
0,,,,,,,0,,11:56:11.642461
0,,,,,,,0,,11:56:11.034809
0,,,,,,,0,,11:56:10.388625
0,,,,,,,0,,11:56:09.751776
0,,,,,,,0,,11:56:09.164050
0,,,,,,,0,,11:56:08.567248
0,,,,,,,0,,11:56:07.954577
0,,,,,,,0,,11:56:07.346534
0,,,,,,,0,,11:56:06.774405
0,,,,,,,0,,11:56:06.181127
0,,,,,,,0,,11:56:05.602565
0,,,,,,,0,,11:56:04.986117
0,,,,,,,0,,11:56:04.374012
0,,,,,,,0,,11:56:03.771854
0,,,,,,,0,,11:56:03.194458
0,,,,,,,0,,11:56:02.609081
0,,,,,,,0,,11:56:01.991202
0,,,,,,,0,,11:56:01.385501
0,,,,,,,0,,11:56:00.798180
0,,,,,,,0,,11:56:00.201621
0,,,,,,,0,,11:55:59.607320
0,,,,,,,0,,11:55:59.034615
0,,,,,,,0,,11:55:58.423473
0,,,,,,,0,,11:55:57.761889
0,,,,,,,0,,11:55:57.133310
0,,,,,,,0,,11:55:56.571948
0,,,,,,,0,,11:55:55.974064
0,,,,,,,0,,11:55:55.374016
0,,,,,,,0,,11:55:54.802650
0,,,,,,,0,,11:55:54.205626
0,,,,,,,0,,11:55:53.592762
0,,,,,,,0,,11:55:53.018229
0,,,,,,,0,,11:55:52.424415
0,,,,,,,0,,11:55:51.759907
0,,,,,,,0,,11:55:51.181635
0,,,,,,,0,,11:55:50.551173
0,,,,,,,0,,11:55:49.935063
0,,,,,,,0,,11:55:49.361140
0,,,,,,,0,,11:55:48.778567
0,,,,,,,0,,11:55:48.197403
0,,,,,,,0,,11:55:47.580913
0,,,,,,,0,,11:55:47.015048
0,,,,,,,0,,11:55:46.395860
0,,,,,,,0,,11:55:45.793633
0,,,,,,,0,,11:55:45.212134
0,,,,,,,0,,11:55:44.622589
0,,,,,,,0,,11:55:44.019022
0,,,,,,,0,,11:55:43.449279
0,,,,,,,0,,11:55:42.854277
0,,,,,,,0,,11:55:42.247643
0,,,,,,,0,,11:55:41.670250
0,,,,,,,0,,11:55:41.079277
0,,,,,,,0,,11:55:40.488837
0,,,,,,,0,,11:55:39.883125
0,,,,,,,0,,11:55:39.312618
0,,,,,,,0,,11:55:38.720207
0,,,,,,,0,,11:55:38.136215
0,,,,,,,0,,11:55:37.541613
0,,,,,,,0,,11:55:36.942543
0,,,,,,,0,,11:55:36.350648
0,,,,,,,0,,11:55:35.746114
0,,,,,,,0,,11:55:35.136570
0,,,,,,,0,,11:55:34.457749
0,,,,,,,0,,11:55:33.828639
0,,,,,,,0,,11:55:33.258033
0,,,,,,,0,,11:55:32.674191
