box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time
1,,Side,Right,Horizontal-Right,,66.33%,1,,13:58:18.976701
1,,,,,,53.81%,1,,13:58:18.424463
1,,,,,,53.73%,1,,13:58:17.862696
1,,Side,Right,Horizontal-Right,,63.52%,1,,13:58:17.296905
1,,,,,,60.02%,1,,13:58:16.769271
1,,,,,,61.41%,1,,13:58:16.235507
1,,,,,,67.43%,1,,13:58:15.684923
1,,,,,,50.53%,1,,13:58:15.132053
1,,,,,,53.18%,1,,13:58:14.589975
1,,,,,,56.72%,1,,13:58:14.055501
1,,Side,Right,Horizontal-Right,,62.64%,1,,13:58:13.525628
1,,Side,Right,Horizontal-Right,,61.76%,1,,13:58:12.982056
1,,Side,Right,Horizontal-Right,,63.91%,1,,13:58:12.438868
1,,,,,,66.61%,1,,13:58:11.913460
1,,,,,,57.08%,1,,13:58:11.403498
1,,,,,,62.95%,1,,13:58:10.900291
1,,,,,,61.56%,1,,13:58:10.390553
0,,,,,,,0,,13:58:09.884024
1,,Side,Right,Horizontal-Right,,64.06%,1,,13:58:09.378235
1,,,,,,58.24%,1,,13:58:08.884329
1,,Side,Right,Horizontal-Right,,61.02%,1,,13:58:08.366382
1,,,,,,51.75%,1,,13:58:07.867249
1,,,,,,63.51%,1,,13:58:07.407289
1,,,,,,56.54%,1,,13:58:06.949656
1,,,,,,53.54%,1,,13:58:06.445143
1,,,,,,69.14%,1,,13:58:05.976494
1,,,,,,58.36%,1,,13:58:05.518486
1,,Side,Right,Horizontal-Right,,53.05%,1,,13:58:05.018236
1,,Side,Right,Horizontal-Right,,54.43%,1,,13:58:04.498725
1,,,,,,56.21%,1,,13:58:04.022965
1,,,,,,57.84%,1,,13:58:03.561049
1,,Side,Right,Horizontal-Right,,62.55%,1,,13:58:03.080443
1,,Side,Right,Horizontal-Right,,57.62%,1,,13:58:02.611959
1,,Side,Right,Horizontal-Right,,54.55%,1,,13:58:02.134761
1,,,,,,68.51%,1,,13:58:01.669596
1,,,,,,60.03%,1,,13:58:01.220212
1,,Side,Right,Horizontal-Right,,59.78%,1,,13:58:00.771385
1,,,,,,59.34%,1,,13:58:00.316640
