box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time
1,117.0,,,,99.67%,93.99%,1,Obtuse,01:45:45.359237
1,116.0,Side,Right,Horizontal-Right,99.71%,90.39%,1,Obtuse,01:45:44.321854
1,117.0,Side,Right,Horizontal-Right,99.68%,92.11%,1,Obtuse,01:45:43.275540
1,118.0,,,,99.70%,91.86%,1,Obtuse,01:45:42.219516
1,117.0,Side,Right,Horizontal-Right,99.70%,94.90%,1,Obtuse,01:45:41.174144
1,119.0,,,,99.67%,92.28%,1,Obtuse,01:45:40.109416
1,118.0,,,,99.66%,92.04%,1,Obtuse,01:45:39.076951
1,117.0,Side,Right,Horizontal-Right,99.62%,92.87%,1,Obtuse,01:45:38.037252
1,113.0,,,,99.63%,94.79%,1,Obtuse,01:45:37.010059
1,118.0,Side,Left,Horizontal-Left,99.65%,89.84%,1,Obtuse,01:45:35.970173
1,118.0,Side,Right,Horizontal-Right,99.64%,94.42%,1,Obtuse,01:45:34.936319
1,118.0,,,,99.64%,93.93%,1,Obtuse,01:45:33.900977
1,117.0,,,,99.71%,96.59%,1,Obtuse,01:45:32.872341
1,118.0,,,,99.76%,87.17%,1,Obtuse,01:45:31.840511
1,117.0,,,,99.70%,93.63%,1,Obtuse,01:45:30.806106
1,118.0,,,,99.71%,86.49%,1,Obtuse,01:45:29.774155
1,118.0,,,,99.76%,87.74%,1,Obtuse,01:45:28.734210
1,118.0,,,,99.75%,92.11%,1,Obtuse,01:45:27.696040
1,119.0,,,,99.66%,91.51%,1,Obtuse,01:45:26.663161
1,118.0,,,,99.74%,90.36%,1,Obtuse,01:45:25.622220
1,116.0,,,,99.63%,95.57%,1,Obtuse,01:45:24.591777
1,116.0,,,,99.65%,94.06%,1,Obtuse,01:45:23.555215
1,118.0,Side,Right,Horizontal-Right,99.69%,86.38%,1,Obtuse,01:45:22.518151
1,118.0,,,,99.66%,94.21%,1,Obtuse,01:45:21.501319
1,117.0,Side,Right,Horizontal-Right,99.73%,91.89%,1,Obtuse,01:45:20.462137
1,118.0,,,,99.77%,95.65%,1,Obtuse,01:45:19.418083
1,117.0,Side,Right,Horizontal-Right,99.66%,91.23%,1,Obtuse,01:45:18.390107
1,119.0,,,,99.62%,92.28%,1,Obtuse,01:45:17.356835
1,118.0,,,,99.67%,92.03%,1,Obtuse,01:45:16.314092
1,117.0,,,,99.73%,94.20%,1,Obtuse,01:45:15.275924
1,117.0,,,,99.70%,88.48%,1,Obtuse,01:45:14.250034
1,119.0,,,,99.62%,93.28%,1,Obtuse,01:45:13.226120
1,119.0,Side,Left,Horizontal-Left,99.74%,94.26%,1,Obtuse,01:45:12.191345
1,118.0,,,,99.67%,92.92%,1,Obtuse,01:45:11.154156
1,118.0,,,,99.75%,93.56%,1,Obtuse,01:45:10.112653
1,119.0,,,,99.66%,93.37%,1,Obtuse,01:45:09.077619
1,118.0,,,,99.73%,94.56%,1,Obtuse,01:45:08.051195
1,119.0,,,,99.59%,87.92%,1,Obtuse,01:45:07.014263
1,118.0,Side,Left,Horizontal-Left,99.77%,88.93%,1,Obtuse,01:45:05.980970
1,118.0,Side,Left,Horizontal-Left,99.67%,94.55%,1,Obtuse,01:45:04.934118
1,118.0,Side,Right,Horizontal-Right,99.63%,90.93%,1,Obtuse,01:45:03.906637
1,116.0,Side,Right,Horizontal-Right,99.69%,96.05%,1,Obtuse,01:45:02.875393
1,114.0,,,,99.59%,91.24%,1,Obtuse,01:45:01.843357
1,116.0,,,,99.72%,85.74%,1,Obtuse,01:45:00.811627
1,118.0,Side,Left,Horizontal-Left,99.71%,93.41%,1,Obtuse,01:44:59.771888
1,118.0,Side,Left,Horizontal-Left,99.65%,92.84%,1,Obtuse,01:44:58.727439
1,119.0,,,,99.68%,90.89%,1,Obtuse,01:44:57.709535
1,118.0,,,,99.62%,94.26%,1,Obtuse,01:44:56.676083
1,116.0,,,,99.66%,91.36%,1,Obtuse,01:44:55.649547
1,118.0,,,,99.72%,91.04%,1,Obtuse,01:44:54.610089
1,119.0,,,,99.79%,87.31%,1,Obtuse,01:44:53.576321
1,116.0,Side,Left,Horizontal-Left,99.65%,96.30%,1,Obtuse,01:44:52.550121
1,118.0,,,,99.71%,92.13%,1,Obtuse,01:44:51.511604
1,118.0,,,,99.59%,92.92%,1,Obtuse,01:44:50.475974
1,117.0,,,,99.69%,93.10%,1,Obtuse,01:44:49.440464
1,119.0,,,,99.66%,91.50%,1,Obtuse,01:44:48.406142
1,118.0,Side,Right,Horizontal-Right,99.43%,93.56%,1,Obtuse,01:44:47.370108
1,119.0,,,,99.71%,94.74%,1,Obtuse,01:44:46.326350
1,116.0,,,,99.68%,93.31%,1,Obtuse,01:44:45.297832
1,118.0,,,,99.68%,89.04%,1,Obtuse,01:44:44.263712
1,117.0,,,,99.61%,93.18%,1,Obtuse,01:44:43.240213
1,117.0,,,,99.65%,93.34%,1,Obtuse,01:44:42.198170
1,118.0,,,,99.76%,92.72%,1,Obtuse,01:44:41.170173
1,119.0,,,,99.76%,93.95%,1,Obtuse,01:44:40.141751
1,118.0,,,,99.57%,93.56%,1,Obtuse,01:44:39.114120
1,119.0,,,,99.66%,88.07%,1,Obtuse,01:44:38.076553
1,119.0,,,,99.73%,92.19%,1,Obtuse,01:44:37.032549
1,117.0,,,,99.53%,94.62%,1,Obtuse,01:44:35.992768
1,119.0,Side,Right,Horizontal-Right,99.58%,96.48%,1,Obtuse,01:44:34.942155
1,119.0,,,,99.77%,88.75%,1,Obtuse,01:44:33.914147
1,119.0,Side,Left,Horizontal-Left,99.71%,94.25%,1,Obtuse,01:44:32.876004
1,118.0,,,,99.63%,92.89%,1,Obtuse,01:44:31.837187
1,119.0,,,,99.63%,95.05%,1,Obtuse,01:44:30.802113
1,118.0,,,,99.68%,89.78%,1,Obtuse,01:44:29.772900
1,117.0,Side,Right,Horizontal-Right,99.67%,88.45%,1,Obtuse,01:44:28.730071
1,114.0,Side,Right,Horizontal-Right,99.75%,94.23%,1,Obtuse,01:44:27.702147
1,118.0,Side,Right,Horizontal-Right,99.64%,93.49%,1,Obtuse,01:44:26.674169
1,117.0,,,,99.59%,95.19%,1,Obtuse,01:44:25.638099
1,118.0,,,,99.70%,89.37%,1,Obtuse,01:44:24.600017
1,118.0,,,,99.30%,92.45%,1,Obtuse,01:44:23.560376
1,117.0,,,,99.64%,94.73%,1,Obtuse,01:44:22.522058
1,119.0,Side,Left,Horizontal-Left,99.73%,78.98%,1,Obtuse,01:44:21.482112
1,118.0,,,,99.62%,85.32%,1,Obtuse,01:44:20.452456
1,118.0,Side,Right,Horizontal-Right,99.73%,92.32%,1,Obtuse,01:44:19.394175
1,118.0,,,,99.72%,95.39%,1,Obtuse,01:44:18.347816
1,118.0,,,,99.72%,94.17%,1,Obtuse,01:44:17.306172
