box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode,angle_gt_1,box_number_gt_1,arrow_direction_gt_1,arrow_position_gt_1,orientation_type_gt_1,angle_type_gt_1,angle_gt_2,box_number_gt_2,arrow_direction_gt_2,arrow_position_gt_2,orientation_type_gt_2,angle_type_type_gt_2
2,64.0,,,,96.94,,2,Acute,02:33:07.598121,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,89.0,Top,Down,Vertical-Down,98.92,81.95,2,Right,02:33:07.598121,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,71.0,,,,97.36,,2,Acute,02:33:06.548001,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,83.0,Top,Down,Vertical-Down,98.56,77.17,2,Acute,02:33:06.548001,1.0,4.0,2,4.0,102,1,4,1,14,2,73,2,0,0,0,4
2,72.0,,,,94.02,,2,Acute,02:33:05.480872,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,92.0,,,,98.87,80.07,2,Right,02:33:05.480872,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,70.0,,,,95.4,,2,Acute,02:33:04.411883,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,89.0,Top,Down,Vertical-Down,98.91,78.33,2,Right,02:33:04.411883,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,67.0,,,,97.22,,2,Acute,02:33:03.325291,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,92.0,,,,98.89,82.05,2,Right,02:33:03.325291,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,67.0,,,,96.38,,2,Acute,02:33:02.243384,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,94.0,Top,Down,Vertical-Down,99.0,83.96,2,Right,02:33:02.243384,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,70.0,,,,97.09,,2,Acute,02:33:01.174107,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,93.0,Top,Down,Vertical-Down,99.09,72.24,2,Right,02:33:01.174107,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,72.0,,,,97.78,,2,Acute,02:33:00.096682,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,85.0,Top,Down,Vertical-Down,98.76,84.37,2,,02:33:00.096682,1.0,4.0,2,,102,1,4,1,14,2,73,2,0,0,0,4
2,66.0,,,,96.96,,2,Acute,02:32:59.025709,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,98.0,,,,98.79,83.91,2,Right,02:32:59.025709,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,66.0,,,,96.09,,2,Acute,02:32:57.940407,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,88.0,Top,Down,Vertical-Down,99.16,78.15,2,Right,02:32:57.940407,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,65.0,,,,96.58,,2,Acute,02:32:56.885616,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,94.0,,,,98.85,79.02,2,Right,02:32:56.885616,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,64.0,,,,96.95,,2,Acute,02:32:55.813417,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,97.0,Top,Down,Vertical-Down,99.11,78.77,2,Right,02:32:55.813417,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,63.0,,,,97.61,,2,Acute,02:32:54.755432,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
