box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode,angle_gt_1,box_number_gt_1,arrow_direction_gt_1,arrow_position_gt_1,orientation_type_gt_1,angle_type_gt_1,angle_gt_2,box_number_gt_2,arrow_direction_gt_2,arrow_position_gt_2,orientation_type_gt_2,angle_type_type_gt_2,angle_gt_3,box_number_gt_3,arrow_direction_gt_3,arrow_position_gt_3,orientation_type_gt_3,angle_type_type_gt_3
3,98.0,,,,83.82,,3,Right,02:56:13.275274,,,3,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,93.92,,3,Acute,02:56:13.275274,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,70.0,Top,Down,Vertical-Down,99.41,82.62,3,Acute,02:56:13.275274,1.0,4.0,2,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,105.0,,,,79.37,,3,Obtuse,02:56:12.190281,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,95.0,,3,Acute,02:56:12.190281,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,83.0,Top,Down,Vertical-Down,99.32,62.05,3,Acute,02:56:12.190281,1.0,4.0,2,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,91.0,,,,71.87,,3,Right,02:56:11.108781,,,3,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,75.0,,,,95.4,,3,Acute,02:56:11.108781,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,92.0,Side,Left,Horizontal-Left,99.26,59.95,3,Right,02:56:11.108781,2.0,1.0,0,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,120.0,,,,67.18,,3,Obtuse,02:56:09.998124,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,78.0,,,,88.52,,3,Acute,02:56:09.998124,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,88.0,Top,Down,Vertical-Down,99.35,77.02,3,Right,02:56:09.998124,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,120.0,,,,81.42,,3,Obtuse,02:56:08.894115,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,92.52,,3,Acute,02:56:08.894115,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,94.0,Side,Right,Horizontal-Right,99.33,83.22,3,Right,02:56:08.894115,2.0,2.0,1,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,103.0,,,,79.55,,3,Obtuse,02:56:07.746165,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,90.98,,3,Acute,02:56:07.746165,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,85.0,Top,Down,Vertical-Down,99.41,64.05,3,,02:56:07.746165,1.0,4.0,2,,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,106.0,,,,86.33,,3,Obtuse,02:56:06.654145,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,76.0,,,,95.38,63.01,3,Acute,02:56:06.654145,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,97.0,Top,Down,Vertical-Down,99.02,68.36,3,Right,02:56:06.654145,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,109.0,,,,86.51,,3,Obtuse,02:56:05.562052,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,78.0,Side,Left,Horizontal-Left,89.76,50.63,3,Acute,02:56:05.562052,2.0,1.0,0,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,86.0,Top,Down,Vertical-Down,99.54,67.61,3,Right,02:56:05.562052,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,106.0,,,,72.78,,3,Obtuse,02:56:04.430145,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,91.98,,3,Acute,02:56:04.430145,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,76.0,,,,99.31,73.19,3,Acute,02:56:04.430145,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,114.0,,,,72.12,,3,Obtuse,02:56:03.280810,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,78.0,,,,92.36,,3,Acute,02:56:03.280810,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,93.0,,,,99.34,80.07,3,Right,02:56:03.280810,,,3,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,101.0,,,,83.92,,3,Obtuse,02:56:02.175819,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,76.0,,,,90.62,,3,Acute,02:56:02.175819,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
