box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode,angle_gt_1,box_number_gt_1,arrow_direction_gt_1,arrow_position_gt_1,orientation_type_gt_1,angle_type_gt_1
1,49.0,,,,98.4,99.02,1,Straight,20:32:23.945311,,,4,3.0,47,1,1,2,21,3
1,51.0,Side,Left,Horizontal-Left,98.52,99.54,1,Acute,20:32:22.890312,2.0,1.0,0,4.0,47,1,1,2,21,3
1,48.0,Side,Right,Horizontal-Right,98.61,99.18,1,Straight,20:32:21.845603,2.0,2.0,1,3.0,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,98.35,98.33,1,Straight,20:32:20.805975,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.51,99.26,1,,20:32:19.762676,2.0,2.0,1,,47,1,1,2,21,3
1,50.0,Side,Left,Horizontal-Left,98.61,99.11,1,,20:32:18.702625,2.0,1.0,0,,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,98.77,98.79,1,Straight,20:32:17.647402,2.0,1.0,0,3.0,47,1,1,2,21,3
1,49.0,,,,98.42,99.37,1,Straight,20:32:16.583762,,,4,3.0,47,1,1,2,21,3
1,47.0,Side,Right,Horizontal-Right,98.23,99.45,1,Straight,20:32:15.524364,2.0,2.0,1,3.0,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,98.92,99.41,1,Straight,20:32:14.479855,2.0,2.0,1,3.0,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,99.09,99.34,1,Straight,20:32:13.442729,2.0,1.0,0,3.0,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,98.75,99.28,1,Straight,20:32:12.400935,2.0,1.0,0,3.0,47,1,1,2,21,3
1,49.0,,,,98.46,99.56,1,Straight,20:32:11.332578,,,4,3.0,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,97.69,99.05,1,Straight,20:32:10.284748,2.0,1.0,0,3.0,47,1,1,2,21,3
1,50.0,,,,98.44,99.45,1,,20:32:09.238587,,,4,,47,1,1,2,21,3
1,48.0,Side,Right,Horizontal-Right,98.8,99.42,1,Straight,20:32:08.196174,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,,,,98.89,99.21,1,,20:32:07.149190,,,4,,47,1,1,2,21,3
1,47.0,,,,97.69,99.31,1,Straight,20:32:06.112320,,,4,3.0,47,1,1,2,21,3
1,50.0,,,,97.72,99.29,1,,20:32:05.045702,,,4,,47,1,1,2,21,3
1,53.0,Side,Right,Horizontal-Right,99.06,99.43,1,Acute,20:32:04.000125,2.0,2.0,1,4.0,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,98.53,99.32,1,Straight,20:32:02.953179,2.0,1.0,0,3.0,47,1,1,2,21,3
1,48.0,Side,Left,Horizontal-Left,97.94,99.4,1,Straight,20:32:01.908481,2.0,1.0,0,3.0,47,1,1,2,21,3
1,51.0,Side,Right,Horizontal-Right,98.71,99.1,1,Acute,20:32:00.866537,2.0,2.0,1,4.0,47,1,1,2,21,3
1,51.0,,,,98.2,99.58,1,Acute,20:31:59.822656,,,4,4.0,47,1,1,2,21,3
1,50.0,Side,Left,Horizontal-Left,98.97,99.28,1,,20:31:58.771667,2.0,1.0,0,,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,98.79,99.28,1,Straight,20:31:57.730612,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,Side,Left,Horizontal-Left,98.25,99.2,1,,20:31:56.709755,2.0,1.0,0,,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,98.13,98.58,1,Straight,20:31:55.666673,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,Side,Left,Horizontal-Left,98.93,99.31,1,,20:31:54.630671,2.0,1.0,0,,47,1,1,2,21,3
1,50.0,Top,Right,Vertical-Right,98.76,99.1,1,,20:31:53.610649,1.0,2.0,3,,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.15,99.28,1,,20:31:52.566668,2.0,2.0,1,,47,1,1,2,21,3
1,50.0,,,,98.34,99.4,1,,20:31:51.520639,,,4,,47,1,1,2,21,3
1,48.0,,,,98.21,99.28,1,Straight,20:31:50.505855,,,4,3.0,47,1,1,2,21,3
1,51.0,,,,98.45,99.48,1,Acute,20:31:49.458687,,,4,4.0,47,1,1,2,21,3
1,51.0,Side,Right,Horizontal-Right,98.92,99.38,1,Acute,20:31:48.401307,2.0,2.0,1,4.0,47,1,1,2,21,3
1,49.0,,,,99.21,99.5,1,Straight,20:31:47.366642,,,4,3.0,47,1,1,2,21,3
1,52.0,,,,99.09,99.3,1,Acute,20:31:46.336159,,,4,4.0,47,1,1,2,21,3
1,50.0,,,,99.09,99.61,1,,20:31:45.283752,,,4,,47,1,1,2,21,3
1,50.0,Top,Right,Vertical-Right,98.21,99.22,1,,20:31:44.244925,1.0,2.0,3,,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,98.32,99.32,1,Straight,20:31:43.205685,2.0,2.0,1,3.0,47,1,1,2,21,3
1,49.0,,,,98.86,98.93,1,Straight,20:31:42.168980,,,4,3.0,47,1,1,2,21,3
1,49.0,,,,98.27,99.43,1,Straight,20:31:41.124649,,,4,3.0,47,1,1,2,21,3
1,50.0,Side,Left,Horizontal-Left,98.45,99.0,1,,20:31:40.086697,2.0,1.0,0,,47,1,1,2,21,3
1,49.0,,,,98.64,99.26,1,Straight,20:31:39.064884,,,4,3.0,47,1,1,2,21,3
1,49.0,,,,97.94,99.35,1,Straight,20:31:38.025490,,,4,3.0,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,98.44,98.15,1,Straight,20:31:36.982692,2.0,2.0,1,3.0,47,1,1,2,21,3
1,49.0,,,,99.03,99.06,1,Straight,20:31:35.950371,,,4,3.0,47,1,1,2,21,3
1,50.0,,,,98.39,99.44,1,,20:31:34.901377,,,4,,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,97.78,99.46,1,,20:31:33.853852,2.0,2.0,1,,47,1,1,2,21,3
1,50.0,Side,Left,Horizontal-Left,99.2,99.01,1,,20:31:32.810680,2.0,1.0,0,,47,1,1,2,21,3
1,49.0,,,,98.67,99.47,1,Straight,20:31:31.778918,,,4,3.0,47,1,1,2,21,3
1,51.0,Side,Right,Horizontal-Right,98.91,99.19,1,Acute,20:31:30.742727,2.0,2.0,1,4.0,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,98.83,99.36,1,Straight,20:31:29.697347,2.0,1.0,0,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.47,99.42,1,,20:31:28.664280,2.0,2.0,1,,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,98.04,99.35,1,Straight,20:31:27.626678,2.0,1.0,0,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.76,99.18,1,,20:31:26.600449,2.0,2.0,1,,47,1,1,2,21,3
1,46.0,Side,Right,Horizontal-Right,98.56,99.5,1,Straight,20:31:25.553188,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,,,,98.79,99.38,1,,20:31:24.518710,,,4,,47,1,1,2,21,3
