box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
1,128.0,,,,98.88,99.98,1,Obtuse,21:34:19.126580,,,3,1.0
1,123.0,Side,Left,Horizontal-Left,98.8,99.98,1,Obtuse,21:34:18.073398,2.0,1.0,0,1.0
1,126.0,,,,98.88,99.98,1,Obtuse,21:34:17.048529,,,3,1.0
1,127.0,Side,Right,Horizontal-Right,98.53,99.99,1,Obtuse,21:34:15.990775,2.0,2.0,1,1.0
1,130.0,,,,99.0,99.98,1,,21:34:14.962605,,,3,
1,132.0,Side,Right,Horizontal-Right,98.97,99.98,1,Straight,21:34:13.926311,2.0,2.0,1,3.0
1,123.0,Side,Right,Horizontal-Right,98.92,99.98,1,Obtuse,21:34:12.886480,2.0,2.0,1,1.0
1,132.0,,,,99.04,99.98,1,Straight,21:34:11.862506,,,3,3.0
1,129.0,,,,98.98,99.98,1,Obtuse,21:34:10.835832,,,3,1.0
1,131.0,,,,98.79,99.98,1,Straight,21:34:09.805148,,,3,3.0
1,126.0,Side,Left,Horizontal-Left,98.82,99.98,1,Obtuse,21:34:08.770642,2.0,1.0,0,1.0
1,129.0,,,,98.95,99.98,1,Obtuse,21:34:07.733073,,,3,1.0
1,130.0,Side,Right,Horizontal-Right,98.86,99.98,1,,21:34:06.703873,2.0,2.0,1,
1,131.0,,,,98.77,99.99,1,Straight,21:34:05.670675,,,3,3.0
1,127.0,Top,Down,Vertical-Down,99.09,99.98,1,Obtuse,21:34:04.645567,1.0,4.0,2,1.0
1,129.0,,,,99.09,99.98,1,Obtuse,21:34:03.618292,,,3,1.0
1,130.0,,,,98.85,99.98,1,,21:34:02.589675,,,3,
1,131.0,,,,98.67,99.98,1,Straight,21:34:01.573124,,,3,3.0
1,132.0,,,,99.18,99.98,1,Straight,21:34:00.544570,,,3,3.0
1,125.0,,,,98.96,99.98,1,Obtuse,21:33:59.506626,,,3,1.0
1,122.0,,,,98.94,99.98,1,Obtuse,21:33:58.484626,,,3,1.0
1,125.0,,,,98.81,99.98,1,Obtuse,21:33:57.450450,,,3,1.0
1,124.0,,,,98.92,99.98,1,Obtuse,21:33:56.412042,,,3,1.0
1,122.0,,,,98.95,99.98,1,Obtuse,21:33:55.388786,,,3,1.0
1,126.0,,,,98.79,99.98,1,Obtuse,21:33:54.356187,,,3,1.0
1,127.0,Side,Right,Horizontal-Right,98.86,99.98,1,Obtuse,21:33:53.329474,2.0,2.0,1,1.0
1,128.0,,,,98.99,99.98,1,Obtuse,21:33:52.306668,,,3,1.0
