,name_of_experiment,accuracy,mape,rmse,reacall,priccision,std,mean,count
0,Only one box,0.3206521739130434,,,0.3206521739130434,1.0,0.4759202205068517,1.687830687830688,189.0
1,Two boxes,0.8819875776397516,,,0.8819875776397516,1.0,0.7408452233368522,3.744444444444445,180.0
2,Three boxes,0.6336633663366337,,,0.6336633663366337,1.0,1.135909455146091,3.2962962962962963,297.0
3,Environment clean,0.3821428571428571,,,0.3821428571428571,1.0,0.8824687379663461,1.832167832167832,286.0
4, Environment medium,0.4455958549222797,,,0.4455958549222797,1.0,0.505934093686264,1.5687203791469195,211.0
5, Environment Hard,0.4455958549222797,,,0.4455958549222797,1.0,0.505934093686264,1.5687203791469195,211.0
6, Box own colour,0.0,,,0.0,,,,
7,Box different colour ,,,,,,0.5099019513592785,1.52,25.0
8,Distance less than 50cm,0.5207253886010362,,,0.5207253886010362,1.0,0.538858613968973,0.5124378109452736,402.0
9, Distance more than 50cm,0.3870967741935484,,,0.3870967741935484,1.0,0.7103946703342523,1.716312056737589,141.0
10, Small size box,0.0,,,0.0,,0.4911711942619928,1.6063829787234043,94.0
11,Medium size box,0.790625,,,0.790625,1.0,0.411664933633974,1.784503631961259,413.0
12, Large size box,0.0,,,0.0,,0.4960216050643737,1.569078947368421,304.0
13,Bright ambient lighting,0.998062015503876,,,0.998062015503876,1.0,0.0439799497133542,1.001934235976789,517.0
14,No  ambient lighting,0.5617715617715617,,,0.5617715617715617,1.0,0.4960291035764384,1.5671981776765376,439.0
