,name_of_experiment,accuracy,mape,rmse,reacall,priccision,std,mean,count
0,Only one box,1.0,,,1.0,1.0,0.0,2.0,189.0
1,Two boxes,0.8819875776397516,,,0.8819875776397516,1.0,0.3151463061647103,1.1111111111111112,180.0
2,Three boxes,0.6336633663366337,,,0.6336633663366337,1.0,0.454324725731449,1.2895622895622896,297.0
3,Environment clean,0.0,,,0.0,,0.3114192759015055,1.891608391608392,286.0
4, Environment medium,0.9948186528497408,,,0.9948186528497408,1.0,0.0688428390821514,1.995260663507109,211.0
5, Environment Hard,0.9948186528497408,,,0.9948186528497408,1.0,0.0688428390821514,1.995260663507109,211.0
6, Box own colour,0.0,,,0.0,,0.1521683553362942,1.9763779527559056,254.0
7,Box different colour ,,,,,,0.0,2.0,25.0
8,Distance less than 50cm,0.9974093264248703,,,0.9974093264248703,1.0,0.2837278319303171,0.0422885572139303,402.0
9, Distance more than 50cm,0.9516129032258064,,,0.9516129032258064,1.0,0.21798561993043,1.950354609929078,141.0
10, Small size box,0.0,,,0.0,,0.0,2.0,94.0
11,Medium size box,1.0,,,1.0,1.0,0.0,2.0,413.0
12, Large size box,0.0,,,0.0,,0.0,2.0,304.0
13,Bright ambient lighting,1.0,,,1.0,1.0,0.0,2.0,517.0
14,No  ambient lighting,1.0,,,1.0,1.0,0.0,2.0,439.0
