,detect value,actual value,experiment_name
0,,Side,Only one box
1,Side,Side,Only one box
2,Side,Side,Only one box
3,,Side,Only one box
4,Side,Side,Only one box
5,,Side,Only one box
6,,Side,Only one box
7,Side,Side,Only one box
8,,Side,Only one box
9,Side,Side,Only one box
10,Side,Side,Only one box
11,,Side,Only one box
12,,Side,Only one box
13,,Side,Only one box
14,,Side,Only one box
15,,Side,Only one box
16,,Side,Only one box
17,,Side,Only one box
18,,Side,Only one box
19,,Side,Only one box
20,,Side,Only one box
21,,Side,Only one box
22,Side,Side,Only one box
23,,Side,Only one box
24,Side,Side,Only one box
25,,Side,Only one box
26,Side,Side,Only one box
27,,Side,Only one box
28,,Side,Only one box
29,,Side,Only one box
30,,Side,Only one box
31,,Side,Only one box
32,Side,Side,Only one box
33,,Side,Only one box
34,,Side,Only one box
35,,Side,Only one box
36,,Side,Only one box
37,,Side,Only one box
38,Side,Side,Only one box
39,Side,Side,Only one box
40,Side,Side,Only one box
41,Side,Side,Only one box
42,,Side,Only one box
43,,Side,Only one box
44,Side,Side,Only one box
45,Side,Side,Only one box
46,,Side,Only one box
47,,Side,Only one box
48,,Side,Only one box
49,,Side,Only one box
50,,Side,Only one box
51,Side,Side,Only one box
52,,Side,Only one box
53,,Side,Only one box
54,,Side,Only one box
55,,Side,Only one box
56,Side,Side,Only one box
57,,Side,Only one box
58,,Side,Only one box
59,,Side,Only one box
60,,Side,Only one box
61,,Side,Only one box
62,,Side,Only one box
63,,Side,Only one box
64,,Side,Only one box
65,,Side,Only one box
66,,Side,Only one box
67,,Side,Only one box
68,Side,Side,Only one box
69,,Side,Only one box
70,Side,Side,Only one box
71,,Side,Only one box
72,,Side,Only one box
73,,Side,Only one box
74,Side,Side,Only one box
75,Side,Side,Only one box
76,Side,Side,Only one box
77,,Side,Only one box
78,,Side,Only one box
79,,Side,Only one box
80,,Side,Only one box
81,Side,Side,Only one box
82,,Side,Only one box
83,Side,Side,Only one box
84,,Side,Only one box
85,,Side,Only one box
86,,Side,Only one box
87,,Side,Only one box
88,Side,Side,Only one box
89,Side,Side,Only one box
90,,Side,Only one box
91,Side,Side,Only one box
92,,Side,Only one box
93,,Side,Only one box
94,Side,Side,Only one box
95,Side,Side,Only one box
96,,Side,Only one box
97,,Side,Only one box
98,,Side,Only one box
99,Side,Side,Only one box
100,,Side,Only one box
101,,Side,Only one box
102,,Side,Only one box
103,Side,Side,Only one box
