,name_of_experiment,accuracy,mape,rmse,reacall,priccision,std,mean,count
0,Only one box,,1.0184508586043113,1.6859392943839426,,,1.177137071027193,117.8408163265306,490.0
1,Two boxes,,11.186213615881137,12.459873482703143,,,9.29677267550316,88.28846153846153,260.0
2,Three boxes,,13.164275611234592,16.566597273264097,,,20.323668615595,87.99697885196375,331.0
3,Environment clean,,1.0027472527472527,1.3614593011072451,,,1.1957992265476902,78.67285382830626,431.0
4, Environment medium,,4.795502149707859,3.156537750439267,,,6.537223124874045,49.69461077844311,334.0
5, Environment Hard,,4.795502149707859,3.156537750439267,,,6.537223124874045,49.69461077844311,334.0
6, Box own colour,,4.112383679312813,4.6138272155341005,,,0.8801926269960603,105.5259433962264,424.0
7,Box different colour ,,,,,,9.038038507230183,31.129436325678498,479.0
8,Distance less than 50cm,,4.100981148715688,5.826062579594143,,,0.8985878192012503,135.2454780361757,387.0
9, Distance more than 50cm,,7.548624288425048,10.77818884779394,,,3.23266668552663,126.71266968325791,442.0
10, Small size box,,1.990700377797152,2.3624311801788176,,,3.3686605789029693,91.49751243781094,402.0
11,Medium size box,,10.442708333333336,7.899367063252599,,,5.589031549860119,52.42326732673267,404.0
12, Large size box,,2.648891966759003,3.350176743177338,,,3.5374520068064785,76.82926829268293,410.0
13,Bright ambient lighting,,3.49304193518259,3.81093896749259,,,3.1737301502778585,80.89788053949904,519.0
14,No  ambient lighting,,1.5775304507698873,3.92202554584801,,,3.2231168508567336,139.75990675990676,429.0
