,name_of_experiment,accuracy,mape,rmse,reacall,priccision,std,mean,count,angle_gt
0,Only one box,1.0,,,1.0,1.0,0.0,1.0,490.0,119
1,Two boxes,0.8819875776397516,,,0.8819875776397516,1.0,0.7570900004870246,2.33596837944664,253.0,102
2,Three boxes,0.528052805280528,,,0.528052805280528,1.0,0.989256414693929,2.4726027397260277,292.0,98
3,Environment clean,1.0,,,1.0,1.0,0.0,4.0,431.0,78
4, Environment medium,0.7202072538860104,,,0.7202072538860104,1.0,0.4494918820656854,3.2794612794612794,297.0,47
5, Environment Hard,0.7202072538860104,,,0.7202072538860104,1.0,0.4494918820656854,3.2794612794612794,297.0,47
6, Box own colour,1.0,,,1.0,1.0,0.0,1.0,424.0,110
7,Box different colour ,,,,,,1.0357254813546264,3.4545454545454546,11.0,45
8,Distance less than 50cm,1.0,,,1.0,1.0,0.1897649057913021,0.0373134328358208,402.0,141
9, Distance more than 50cm,0.9193548387096774,,,0.9193548387096774,1.0,0.6615556366241069,1.2493765586034913,401.0,136
10, Small size box,1.0,,,1.0,1.0,0.0704465583556008,2.004975124378109,402.0,93
11,Medium size box,0.9,,,0.9,1.0,0.2992211492458229,3.90092879256966,323.0,48
12, Large size box,0.9901315789473684,,,0.9901315789473684,1.0,0.2088734624666283,3.9804878048780488,410.0,76
13,Bright ambient lighting,0.9728682170542636,,,0.9728682170542636,1.0,0.3783890469316537,3.9382239382239375,518.0,83
14,No  ambient lighting,0.9976689976689976,,,0.9976689976689976,1.0,0.0482804549585267,3.0023310023310024,429.0,142
