,name_of_experiment,accuracy,mape,rmse,reacall,priccision,std,mean,count,angle_gt
0,Only one box,,8.133423913043478,8.593769071125084,,,3.105577667310124,91.90076,500.0,119
1,Two boxes,,21.00552795031056,21.59623945007772,,,6.174184216824266,78.56150943396226,265.0,102
2,Three boxes,,31.16151815181518,32.204746221759315,,,6.937692524387384,70.49078549848943,331.0,98
3,Environment clean,,5.330964285714286,6.489697522116993,,,8.363462276962249,92.81819548872184,399.0,78
4, Environment medium,,2.9968393782383416,3.1039924983884566,,,0.8237480663798445,96.95207006369426,314.0,47
5, Environment Hard,,2.9968393782383416,3.1039924983884566,,,0.8237480663798445,96.95207006369426,314.0,47
6, Box own colour,,5.530275590551181,5.618149967304016,,,1.0104255855072848,94.50503667481662,409.0,110
7,Box different colour ,,,,,,4.951475575215932,79.63804721030043,466.0,45
8,Distance less than 50cm,,1.3252590673575129,1.3776776095498258,,,0.3748901028567962,98.67517766497464,394.0,141
9, Distance more than 50cm,,0.0192741935483837,0.0194480283435486,,,0.0028137556735397,99.98086474501108,451.0,136
10, Small size box,,3.02945945945946,3.0896921039639698,,,0.5193761518961056,97.01407867494824,483.0,93
11,Medium size box,,1.82690625,1.9041069921356837,,,0.543915177632283,98.1423798076923,416.0,48
12, Large size box,,3.2224013157894733,3.321322808365429,,,0.8191857589363417,96.790325,400.0,76
13,Bright ambient lighting,,27.92317829457364,28.732889218945893,,,6.773153436900384,72.07787234042553,517.0,83
14,No  ambient lighting,,8.715174825174824,8.879824162458238,,,1.7225491062946774,91.2690888382688,439.0,142
