,name_of_experiment,accuracy,mape,rmse,reacall,priccision,std,mean,count,angle_gt
0,Only one box,,0.3342934782608698,0.3419246993125826,,,0.0660651255175451,99.67102040816329,490.0,119
1,Two boxes,,1.1014906832298132,1.1170496855556602,,,0.2239085061294811,98.91259124087593,274.0,102
2,Three boxes,,1.4793399339933997,2.797946677576443,,,5.927724045475955,98.0157396449704,338.0,98
3,Environment clean,,4.130892857142857,4.296017798912317,,,4.403817029955631,95.20765765765763,444.0,78
4, Environment medium,,0.515958549222798,0.5221676621139163,,,5.437338757995115,98.757994100295,339.0,47
5, Environment Hard,,0.515958549222798,0.5221676621139163,,,5.437338757995115,98.757994100295,339.0,47
6, Box own colour,,1.0873622047244096,1.1102310534866089,,,7.057949077193197,97.57108843537416,441.0,110
7,Box different colour ,,18.826910229645097,19.36885830463562,,,4.5544954635031605,81.17308977035492,479.0,45
8,Distance less than 50cm,,0.7332901554404146,1.9877849129379237,,,6.271348466188927,98.24005025125628,398.0,141
9, Distance more than 50cm,,1.0833870967741934,1.0930321838073709,,,6.608733603118038,97.58575757575755,462.0,136
10, Small size box,,31.067837837837835,31.271982236068325,,,3.589740656798143,68.80818181818182,495.0,93
11,Medium size box,,0.5919062500000001,2.085302211311349,,,7.298338730478312,97.84603286384976,426.0,48
12, Large size box,,5.767927631578948,5.982861624982164,,,4.31665047056331,93.57861575178998,419.0,76
13,Bright ambient lighting,,0.0348255813953518,0.0353525982291346,,,0.0060808194595862,99.96520231213874,519.0,83
14,No  ambient lighting,,0.0887179487179468,0.0900686089176135,,,5.69816840348502,98.91587837837838,444.0,142
