,rotate_angle,box_detect_confidence_top_cam,box_detect_confidence_side_cam,arrow_position_encode,arrow_direction_encode,angle_type_encode,parameter
0,490.0,490.0,500.0,189.0,189.0,490.0,count
1,117.84081632653061,99.67102040816327,91.90075999999999,2.0,1.687830687830688,1.0,mean
2,1.1771370710271927,0.0660651255175451,3.105577667310124,0.0,0.4759202205068517,0.0,std
3,113.0,99.3,73.22,2.0,1.0,1.0,min
4,117.0,99.63,90.37,2.0,1.0,1.0,25%
5,118.0,99.68,92.445,2.0,2.0,1.0,50%
6,119.0,99.72,94.0875,2.0,2.0,1.0,75%
7,120.0,99.8,97.57,2.0,3.0,1.0,max
8,,,,1.0,1.0,1.0,pricission
9,,,,1.0,0.32065217391304346,1.0,recall
10,1.6859392943839426,0.3419246993125826,8.593769071125084,,,,rmse
11,2.842391304347826,0.11691250000000006,73.85286684782609,,,,mse
12,1.0184508586043113,0.3342934782608698,8.133423913043478,,,,mape_
13,,,,1.0,0.32065217391304346,1.0,accuracy
