,rotate_angle,box_detect_confidence_top_cam,box_detect_confidence_side_cam,arrow_position_encode,angle_type_encode,parameter,arrow_direction_encode
0,424.0,441.0,409.0,254.0,424.0,count,
1,105.52594339622641,97.57108843537416,94.50503667481662,1.9763779527559056,1.0,mean,
2,0.8801926269960603,7.057949077193197,1.0104255855072848,0.15216835533629422,0.0,std,
3,102.0,50.41,90.61,1.0,1.0,min,
4,105.0,98.73,93.83,2.0,1.0,25%,
5,106.0,98.92,94.55,2.0,1.0,50%,
6,106.0,99.06,95.24,2.0,1.0,75%,
7,107.0,99.52,96.94,2.0,1.0,max,
8,,,,,1.0,pricission,
9,,,,0.0,1.0,recall,0.0
10,4.6138272155341005,1.1102310534866087,5.618149967304016,,,rmse,
11,21.287401574803148,1.2326129921259847,31.563609055118118,,,mse,
12,4.112383679312813,1.0873622047244096,5.530275590551181,,,mape_,
13,,,,0.0,1.0,accuracy,0.0
