,experiment_name,good,bad
0,Only one box,11.695906432748536,88.30409356725146
1,Two boxes,30.418250950570343,69.58174904942965
2,Three boxes,21.641025641025642,78.35897435897435
3,Environment clean,6.726457399103139,93.27354260089686
4, Environment medium,26.666666666666668,73.33333333333333
5, Environment Hard,26.666666666666668,73.33333333333333
6, Box own colour,0.0,0.0
7,Box different colour ,0.0,0.0
8,Distance <50cm,49.877750611246945,50.12224938875306
9, Distance >50cm,11.563169164882227,88.43683083511777
10, Small size box,0.0,0.0
11,Medium size box,75.70093457943925,24.299065420560748
12, Large size box,0.0,0.0
13,Bright ambient lighting,99.42196531791907,0.5780346820809248
14,No ambient lighting,54.966887417218544,45.033112582781456
