,experiment_name,good,bad
0,Only one box,36.84210526315789,63.1578947368421
1,Two boxes,30.418250950570343,69.58174904942965
2,Three boxes,21.641025641025642,78.35897435897435
3,Environment clean,6.950672645739911,93.04932735426009
4, Environment medium,60.86956521739131,39.130434782608695
5, Environment Hard,60.86956521739131,39.130434782608695
6, Box own colour,0.0,0.0
7,Box different colour ,0.0,0.0
8,Distance <50cm,96.08801955990221,3.9119804400977993
9, Distance >50cm,28.693790149892934,71.30620985010707
10, Small size box,0.0,0.0
11,Medium size box,96.49532710280374,3.5046728971962615
12, Large size box,0.0,0.0
13,Bright ambient lighting,99.61464354527938,0.3853564547206166
14,No ambient lighting,96.90949227373068,3.090507726269316
